SN #,Super Neighborhood Name,Median Housing Value
1,Willowbrook,167653
2,Greater Greenspoint,94115
3,Carverdale,108374
4,Fairbanks / Northwest Crossing,109158
5,Greater Inwood,102730
6,Acres Home,95832
7,Hidden Valley,107988
8,Westbranch,115300
9,Addicks Park Ten,154991
10,Spring Branch West,143816
11,Langwood,102166
12,Central Northwest,187341
13,Independence Heights,71493
14,Lazybrook / Timbergrove,245707
15,Greater Heights,266134
16,Memorial,336684
17,Eldridge / West Oaks,195515
18,Briar Forest,222937
19,Westchase,309129
20,Mid West,208872
21,Greater Uptown,447641
22,Washington Avenue Coalition / Memorial Park,306166
23,Afton Oaks / River Oaks Area,768679
24,Neartown - Montrose,326102
25,Alief,99087
26,Sharpstown,112135
27,Gulfton,168119
28,University Place,558207
29,Westwood,62025
30,Braeburn,115975
31,Meyerland Area,277155
32,Braeswood,346369
33,Medical Center Area,281141
34,Astrodome Area,112015
35,South Main,80142
36,Brays Oaks,129121
37,Westbury,162156
38,Willow Meadows / Willowbend Area,204863
39,Fondren Gardens,115186
40,Central Southwest,95929
41,Fort Bend Houston,97326
42,IAH / Airport Area,82518
43,Kingwood Area,203826
44,Lake Houston,199463
45,Northside/Northline,90779
46,Eastex - Jensen Area,77093
47,East Little York / Homestead,71673
48,Trinity / Houston Gardens,54470
49,East Houston,70621
50,Settegast,56129
51,Near Northside,109101
52,Kashmere Gardens,65511
53,El Dorado / Oates Prairie,79717
54,Hunterwood,93200
55,Greater Fifth Ward,85374
56,Denver Harbor / Port Houston,69432
57,Pleasantville Area,68692
58,Northshore,85340
59,Clinton Park Tri-Community,53120
60,Fourth Ward,220674
61,Downtown,186781
62,Midtown,242804
63,Second Ward,81851
64,Greater Eastwood,130065
65,Harrisburg / Manchester,77166
66,Museum Park,240600
67,Greater Third Ward,155951
68,Greater OST / South Union,73053
69,Gulfgate Riverview / Pine Valley,83915
70,Pecan Park,89701
71,Sunnyside,58084
72,South Park,64707
73,Golfcrest / Bellfort / Reveille,95137
74,Park Place,91283
75,Meadowbrook / Allendale,88675
76,South Acres / Crestmont Park,80409
77,Minnetex,97003
78,Greater Hobby Area,101717
79,Edgebrook Area,94811
80,South Belt / Ellington,115111
81,Clear Lake,185219
82,Magnolia Park,77928
83,MacGregor,202223
84,Spring Branch North,143761
85,Spring Branch Central,140001
86,Spring Branch East,194912
87,Greenway / Upper Kirby Area,353095
88,Lawndale / Wayside,105616
